type,start_day,end_day,duration_days
PV2,2024-05-09,2024-05-11,3
PV2,2024-06-04,2024-06-06,3
PV2,2024-06-12,2024-06-13,2
PV2,2024-06-24,2024-06-27,4
PV2,2024-07-17,2024-07-20,4
PV2,2024-07-23,2024-07-25,3
PV2,2024-08-05,2024-08-06,2
PV2,2024-08-08,2024-08-09,2
PV2,2024-08-19,2024-08-22,4
PV2,2024-08-26,2024-08-28,3
PV2,2024-09-14,2024-09-15,2
W2,2024-01-01,2024-01-04,4
W2,2024-01-07,2024-01-08,2
W2,2024-01-21,2024-01-24,4
W2,2024-02-06,2024-02-09,4
W2,2024-02-21,2024-02-27,7
W2,2024-03-01,2024-03-02,2
W2,2024-03-08,2024-03-09,2
W2,2024-03-23,2024-03-24,2
W2,2024-03-27,2024-03-29,3
W2,2024-04-02,2024-04-06,5
W2,2024-04-15,2024-04-16,2
W2,2024-09-09,2024-09-10,2
W2,2024-09-17,2024-09-18,2
W2,2024-09-26,2024-09-27,2
W2,2024-10-08,2024-10-09,2
W2,2024-11-18,2024-11-19,2
W2,2024-11-22,2024-11-25,4
W2,2024-12-05,2024-12-10,6
W2,2024-12-18,2024-12-23,6
